2021-10-11 20:48:14 INFO  Logging:84 - User was successfully logged in
2021-10-11 20:49:22 INFO  Logging:84 - User was successfully logged in
2021-10-11 20:57:17 INFO  Logging:84 - User was successfully logged in
2021-10-11 20:58:48 INFO  Logging:84 - User was successfully logged in
2021-10-11 20:59:56 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:02:42 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:06:54 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:08:43 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:11:52 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:18:34 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:21:30 INFO  Logging:84 - User was successfully logged in
2021-10-11 21:22:26 INFO  Logging:84 - User was successfully logged in
2021-10-12 07:03:00 WARN  Logging:77 - User has tried logging in with a username that does not exist.
2021-10-12 07:04:30 WARN  Logging:35 - SQL Error detected.
2021-10-12 07:04:42 WARN  Logging:48 - User has used an incorrect password
2021-10-12 07:04:50 INFO  Logging:52 - User was successfully logged in
2021-10-12 07:15:08 INFO  Logging:84 - User was successfully logged in
2021-10-12 07:28:28 INFO  Logging:84 - User was successfully logged in
2021-10-12 07:28:55 INFO  Logging:84 - User was successfully logged in
2021-10-12 08:22:11 INFO  Logging:84 - User was successfully logged in
2021-10-12 08:27:08 INFO  Logging:84 - User was successfully logged in
2021-10-12 08:27:30 INFO  Logging:51 - User was successfully logged in
2021-10-12 08:27:41 INFO  Logging:259 - New withdrawal detected.
2021-10-12 08:28:06 INFO  Logging:84 - User was successfully logged in
2021-10-12 08:31:09 INFO  Logging:84 - User was successfully logged in
2021-10-12 08:37:29 INFO  Logging:84 - User was successfully logged in
2021-10-12 08:37:33 WARN  Logging:105 - Employee has searched for a username that does not exist
2021-10-12 08:42:22 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:42:26 WARN  Logging:105 - Employee has searched for a username that does not exist
2021-10-12 08:43:57 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:43:59 WARN  Logging:105 - Employee has searched for a username that does not exist
2021-10-12 08:47:58 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:48:01 WARN  Logging:297 - Employee has searched for a username that does not exist
2021-10-12 08:49:45 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:49:47 WARN  Logging:299 - Employee has searched for a username that does not exist
2021-10-12 08:51:11 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:51:13 WARN  Logging:299 - Employee has searched for a username that does not exist
2021-10-12 08:52:28 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:52:30 WARN  Logging:299 - Employee has searched for a username that does not exist
2021-10-12 08:53:08 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:59:17 INFO  Logging:81 - User was successfully logged in
2021-10-12 08:59:48 INFO  Logging:81 - User was successfully logged in
2021-10-12 09:00:40 INFO  Logging:81 - User was successfully logged in
2021-10-12 09:01:20 INFO  Logging:81 - User was successfully logged in
2021-10-12 09:02:46 WARN  Logging:78 - User has used an incorrect password
2021-10-12 09:02:50 INFO  Logging:81 - User was successfully logged in
2021-10-12 09:07:03 INFO  Logging:81 - User was successfully logged in
2021-10-12 09:22:00 WARN  Logging:45 - User has tried logging in with a username that does not exist.
2021-10-12 09:22:28 WARN  Logging:45 - User has tried logging in with a username that does not exist.
2021-10-12 09:23:23 WARN  Logging:45 - User has tried logging in with a username that does not exist.
2021-10-12 09:26:55 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 09:32:54 INFO  Logging:51 - User was successfully logged in
2021-10-12 09:33:01 INFO  Logging:211 - New pending account detected.
2021-10-12 09:51:54 WARN  Logging:65 - SQL Error detected.
2021-10-12 09:59:00 INFO  Logging:81 - User was successfully logged in
2021-10-12 10:06:32 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 10:07:44 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:07:49 WARN  Logging:26 - Duplicate accounts setups detected.
2021-10-12 10:08:38 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 10:08:51 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:08:54 INFO  Logging:216 - New pending account detected.
2021-10-12 10:09:02 WARN  Logging:26 - Duplicate accounts setups detected.
2021-10-12 10:09:27 INFO  Logging:81 - User was successfully logged in
2021-10-12 10:10:13 WARN  Logging:45 - User has tried logging in with a username that does not exist.
2021-10-12 10:10:24 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:10:36 INFO  Logging:241 - New deposit detected.
2021-10-12 10:13:45 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:13:51 INFO  Logging:241 - New deposit detected.
2021-10-12 10:39:45 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:39:53 INFO  Logging:266 - New withdrawal detected.
2021-10-12 10:42:15 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:44:40 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:44:44 INFO  Logging:71 - Customer attempted to overdraft account.
2021-10-12 10:44:44 INFO  Logging:242 - New deposit detected.
2021-10-12 10:48:25 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:48:32 INFO  Logging:266 - New withdrawal detected.
2021-10-12 10:53:20 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:53:29 INFO  Logging:266 - New withdrawal detected.
2021-10-12 10:58:16 INFO  Logging:51 - User was successfully logged in
2021-10-12 10:58:25 INFO  Logging:71 - Customer attempted to overdraft account.
2021-10-12 10:58:25 INFO  Logging:266 - New withdrawal detected.
2021-10-12 10:58:38 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:00:47 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:00:53 INFO  Logging:71 - Customer attempted to overdraft account.
2021-10-12 11:00:53 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:09:01 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:09:07 INFO  Logging:242 - New deposit detected.
2021-10-12 11:09:15 INFO  Logging:71 - Customer attempted to overdraft account.
2021-10-12 11:09:15 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:10:32 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:10:36 INFO  Logging:71 - Customer attempted to overdraft account.
2021-10-12 11:10:36 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:13:19 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:13:23 INFO  Logging:242 - New deposit detected.
2021-10-12 11:13:30 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:19:46 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:19:51 INFO  Logging:242 - New deposit detected.
2021-10-12 11:19:57 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:22:54 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:24:05 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:30:13 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:30:16 INFO  Logging:266 - New withdrawal detected.
2021-10-12 11:43:26 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:43:59 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:44:07 INFO  Logging:242 - New deposit detected.
2021-10-12 11:44:14 INFO  Logging:242 - New deposit detected.
2021-10-12 11:44:24 INFO  Logging:266 - New withdrawal detected.
